contract_id,text,text_norm,label
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, as of the Distribution Date, SpinCo hereby grants to Nuance and the members of the Nuance Group a worldwide, non-exclusive, fully paid-up, perpetual and irrevocable, transferable (subject to ARTICLE VIII), sublicensable (subject to Section 4.01(g)) license to install, access, use, reproduce, perform, display, modify (including the right to create improvements and derivative works), further develop, sell, manufacture, distribute and market products and services based on, using or incorporating the SpinCo Shared Technology Assets within the Nuance Field of Use, together with natural extensions and evolutions thereof.",subject to the terms and conditions of this agreement as of the distribution date spinco hereby grants to nuance and the members of the nuance group a worldwide non exclusive fully paid up perpetual and irrevocable transferable subject to article viii sublicensable subject to section 4 01 g license to install access use reproduce perform display modify including the right to create improvements and derivative works further develop sell manufacture distribute and market products and services based on using or incorporating the spinco shared technology assets within the nuance field of use together with natural extensions and evolutions thereof,Irrevocable Or Perpetual License
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,"IBM grants Customer an irrevocable, nonexclusive, worldwide, paid-up license to use, execute, reproduce, display, and perform copies of such Materials and distribute within Customer's Affiliates only.",ibm grants customer an irrevocable nonexclusive worldwide paid up license to use execute reproduce display and perform copies of such materials and distribute within customer s affiliates only,License Grant
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,"If Customer's Peak Bandwidth Usage for the month exceeds Committed Bandwidth, Customer will incur a Peak Bandwidth Usage charge, for the amount of usage that exceeds Committed Bandwidth, at the rate specified in Attachment C.",if customer s peak bandwidth usage for the month exceeds committed bandwidth customer will incur a peak bandwidth usage charge for the amount of usage that exceeds committed bandwidth at the rate specified in attachment c,Volume Restriction
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,The Executive agrees and undertakes with the Company acting on behalf of itself and as agent for each Group Company that he will not in any Relevant Capacity at any time during the Restricted Period:,the executive agrees and undertakes with the company acting on behalf of itself and as agent for each group company that he will not in any relevant capacity at any time during the restricted period,No-Solicit Of Customers
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,"If M&I and Customer are unable to agree upon the terms for renewal of this Agreement at least six (6) months prior to the expiration of the Term, then Customer may, at its option, renew this Agreement for one (1) twelve month period at the then-current terms and conditions of this Agreement.",if m i and customer are unable to agree upon the terms for renewal of this agreement at least six 6 months prior to the expiration of the term then customer may at its option renew this agreement for one 1 twelve month period at the then current terms and conditions of this agreement,Renewal Term
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,"Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.",following the initial term this agreement shall automatically renew for successive terms of six 6 months each a renewal term and together with the initial term the term unless written notice is given by either party no later than thirty 30 days in advance of the expiration of the initial term or the applicable renewal term,Renewal Term
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"If a majority of the equity securities of either 2TheMart or i-Escrow, Inc. (except that i-Escrow may sell all or a majority of its equity securities or voting interests to i-Escrow.com, and i-Escrow.com may sell all or a majority of its equity securities or voting interests to i-Escrow's existing shareholders, without triggering the foregoing) are acquired by another company during the term of this Agreement either company may terminate this Agreement, without liability, by giving a thirty (30) days written notice to the other party.",if a majority of the equity securities of either 2themart or i escrow inc except that i escrow may sell all or a majority of its equity securities or voting interests to i escrow com and i escrow com may sell all or a majority of its equity securities or voting interests to i escrow s existing shareholders without triggering the foregoing are acquired by another company during the term of this agreement either company may terminate this agreement without liability by giving a thirty 30 days written notice to the other party,Change Of Control
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,"14th day of May, 1999",14th day of may 1999,Effective Date
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,In no event shall either Party be liable for any special or punitive damages arising from breach of this Agreement.,in no event shall either party be liable for any special or punitive damages arising from breach of this agreement,Cap On Liability
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,"Each Seller agrees that for a period commencing on the Effective Date and ending two years after the Closing Date (the ""Non- Compete Period""), it shall not, other than solely through its direct or indirect ownership of Buyer's capital stock or any other interests in Buyer, directly, or indirectly, including through or on behalf of a subsidiary, anywhere in the world, excluding India: (i) own, manage, operate or control any business which competes with any Combined Business or (ii) be or become a shareholder, partner, member or owner of any Person who is engaged in any Combined Business;",each seller agrees that for a period commencing on the effective date and ending two years after the closing date the non compete period it shall not other than solely through its direct or indirect ownership of buyer s capital stock or any other interests in buyer directly or indirectly including through or on behalf of a subsidiary anywhere in the world excluding india i own manage operate or control any business which competes with any combined business or ii be or become a shareholder partner member or owner of any person who is engaged in any combined business,Non-Compete
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,"For a Liquidity Event, the fee required under Section 4.1 of this Exhibit A above shall be payable to JHU by COMPANY in the same form as the proceeds paid or payable to either COMPANY or its security holders, whether in cash, securities or other property, and in the same proportion as such form of consideration is paid or payable to COMPANY or its security holders.",for a liquidity event the fee required under section 4 1 of this exhibit a above shall be payable to jhu by company in the same form as the proceeds paid or payable to either company or its security holders whether in cash securities or other property and in the same proportion as such form of consideration is paid or payable to company or its security holders,Change Of Control
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","The limitations in Section 23.1(a) will not apply to (a) losses arising out of or relating to a Party's breach of its obligations in Section 8 (excluding Section 8.4(g)) or Sections 1.1, 1.2, 1.4, 1.6 or 6.1 of the Restated Developer Agreement, (b) losses arising out of a Party's breach of Section 19 or the Business Associate Agreement (c) losses arising from a Party's gross negligence or more culpable conduct, including any willful misconduct or intentionally wrongful acts; (d) losses for death, bodily injury, or damage to real or tangible personal property arising out of or relating to a Party's negligent or more culpable acts or omissions or (e) a Party's obligation to pay attorneys' fees and other costs pursuant to Section 28.9(e)",the limitations in section 23 1 a will not apply to a losses arising out of or relating to a party s breach of its obligations in section 8 excluding section 8 4 g or sections 1 1 1 2 1 4 1 6 or 6 1 of the restated developer agreement b losses arising out of a party s breach of section 19 or the business associate agreement c losses arising from a party s gross negligence or more culpable conduct including any willful misconduct or intentionally wrongful acts d losses for death bodily injury or damage to real or tangible personal property arising out of or relating to a party s negligent or more culpable acts or omissions or e a party s obligation to pay attorneys fees and other costs pursuant to section 28 9 e,Uncapped Liability
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.","Other than Affiliates of a Party, nothing expressed or implied in this IP Agreement is intended or will be construed to confer upon or give any Person other than the Parties any rights or remedies under or by reason of this IP Agreement or any transaction contemplated hereby.",other than affiliates of a party nothing expressed or implied in this ip agreement is intended or will be construed to confer upon or give any person other than the parties any rights or remedies under or by reason of this ip agreement or any transaction contemplated hereby,Third Party Beneficiary
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,"In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation: 7.1.1 Divert or attempt to divert any business or customer of the Franchised Business or any Unit Franchisee anywhere, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with our Proprietary Marks or the System.",in consideration for such training trade secrets and confidential information you and your principals agree that during the term of this agreement and for a continuous uninterrupted period commencing upon expiration or termination of this agreement regardless of the cause for termination and continuing for a period of three 3 years thereafter neither you nor your principals shall directly or indirectly for themselves or through on behalf of or in conjunction with any person persons partnership limited liability company or corporation 7 1 1 divert or attempt to divert any business or customer of the franchised business or any unit franchisee anywhere by direct or indirect inducement or otherwise or do or perform directly or indirectly any other act injurious or prejudicial to the goodwill associated with our proprietary marks or the system,No-Solicit Of Customers
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,20th day of March 2002,20th day of march 2002,Agreement Date
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"Newegg grants Allied a revocable, non-transferrable, non-assignable (whether voluntarily, or as a result of a change of control, or by operation of law), non-sublicensable, non-exclusive and limited license to use, during the Term, the Newegg Marks solely in connection with Allied's marketing and conduct of the Arena.",newegg grants allied a revocable non transferrable non assignable whether voluntarily or as a result of a change of control or by operation of law non sublicensable non exclusive and limited license to use during the term the newegg marks solely in connection with allied s marketing and conduct of the arena,License Grant
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"Theismann shall have the right to terminate this Agreement at any time upon thirty (30) days' written notice to Bizzingo, such termination to become effective at the conclusion of such 30-day period.",theismann shall have the right to terminate this agreement at any time upon thirty 30 days written notice to bizzingo such termination to become effective at the conclusion of such 30 day period,Termination For Convenience
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,Neither party shall assign this Agreement or any rights under it except with the prior written consent of the other.,neither party shall assign this agreement or any rights under it except with the prior written consent of the other,Anti-Assignment
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,WEB SITE HOSTING AGREEMENT,web site hosting agreement,Document Name
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"Except for breach of Article ------------------------------- VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages.",except for breach of article viii and for article xii in no event shall either party be liable to the other party for any indirect incidental and or consequential damages resulting from a breach of this agreement including without limitation lost business lost savings and lost profits even if the breaching party has been advised of the possibility of the occurrence of such damages,Cap On Liability
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"Each Grantor undertakes not to assert any -------------------- claim for Patent infringement with respect to use and maintenance of Licensed Products against any end user, customer or distributor of Grantee, or any subsequent vendee, lessee, or transferee to the extent the Licensed Products have been acquired from Grantee after the Effective Date and are used for the purpose for which they predominantly have been made (without modification or amendment).",each grantor undertakes not to assert any claim for patent infringement with respect to use and maintenance of licensed products against any end user customer or distributor of grantee or any subsequent vendee lessee or transferee to the extent the licensed products have been acquired from grantee after the effective date and are used for the purpose for which they predominantly have been made without modification or amendment,Covenant Not To Sue
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","IN NO EVENT SHALL EITHER FMI OR ROCHE BE LIABLE FOR SPECIAL, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES ARISING OUT OF THIS AGREEMENT BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY.",in no event shall either fmi or roche be liable for special indirect incidental or consequential damages arising out of this agreement based on contract tort or any other legal theory,Cap On Liability
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"The Laws of the State of Delaware (without reference to its principles of conflicts of law) shall govern the construction, interpretation and other matters arising out of or in connection with this IP Agreement and its schedules (whether arising in contract, tort, equity or otherwise).",the laws of the state of delaware without reference to its principles of conflicts of law shall govern the construction interpretation and other matters arising out of or in connection with this ip agreement and its schedules whether arising in contract tort equity or otherwise,Governing Law
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"PC Financial and Mobimagic are individually referred to herein each as a ""Party"" and collectively as the ""Parties.""",pc financial and mobimagic are individually referred to herein each as a party and collectively as the parties,Parties
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,"Notwithstanding anything to the contrary stated in this Agreement, either party may terminate this Agreement at any time without cause by giving to the other party, not less than four (4) months written notice.",notwithstanding anything to the contrary stated in this agreement either party may terminate this agreement at any time without cause by giving to the other party not less than four 4 months written notice,Termination For Convenience
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT","This OMA, and all claims or causes of action (whether in contract or tort) that may be based upon, arise out of or relate to this OMA or the negotiation, execution or performance of this OMA (including any claim or cause of action based upon, arising out of or related to any representation or warranty made in or in connection with this OMA), will be construed in accordance with and governed by the law of the State of New York without regard to principles of conflicts of laws that would result in the application of the law of any other jurisdiction.",this oma and all claims or causes of action whether in contract or tort that may be based upon arise out of or relate to this oma or the negotiation execution or performance of this oma including any claim or cause of action based upon arising out of or related to any representation or warranty made in or in connection with this oma will be construed in accordance with and governed by the law of the state of new york without regard to principles of conflicts of laws that would result in the application of the law of any other jurisdiction,Governing Law
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Nuance, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other's Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages.",without limiting the terms set forth in section 6 09 of the separation agreement none of nuance spinco or any other member of either group shall in any event have any liability to the other or to any other member of the other s group under this agreement for any indirect special punitive or consequential damages whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages,Cap On Liability
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"During the Appointment, the Executive may not accept any employment with or appointment to any office, whether paid or unpaid, in relation to anybody, whether corporate or not (other than a Group Company), or directly or indirectly be interested in any manner in any other business except:",during the appointment the executive may not accept any employment with or appointment to any office whether paid or unpaid in relation to anybody whether corporate or not other than a group company or directly or indirectly be interested in any manner in any other business except,Competitive Restriction Exception
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,"Separate and apart from the fees in Subsection 10.1 above, at such time as Client has acquired [***] New Customers (the --- ""Minimum Customer Number"") Client will pay Intuit [***] of the Net --- Transaction Revenues it receives from each New Customer acquired by Client above the Minimum Customer Number (""Transaction Fee"").",separate and apart from the fees in subsection 10 1 above at such time as client has acquired new customers the minimum customer number client will pay intuit of the net transaction revenues it receives from each new customer acquired by client above the minimum customer number transaction fee,Revenue/Profit Sharing
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT,"In the event this Agreement is terminated in accordance with this Section 11, the Company shall transfer the Policy to the Trust as soon as is administratively practicable.",in the event this agreement is terminated in accordance with this section 11 the company shall transfer the policy to the trust as soon as is administratively practicable,Post-Termination Services
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"The construction and validity of this Agreement and the provisions hereof, and the rights and obligations of the Parties hereunder, will be governed by the internal laws of the State of Delaware, USA, and, to the extent applicable to Patents and Trademarks, the applicable federal laws of the USA, in each instance without regard to conflict of laws principles.",the construction and validity of this agreement and the provisions hereof and the rights and obligations of the parties hereunder will be governed by the internal laws of the state of delaware usa and to the extent applicable to patents and trademarks the applicable federal laws of the usa in each instance without regard to conflict of laws principles,Governing Law
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,"THE LIABILITY OF EITHER PARTY FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER (EXCEPT UNDER SECTIONS 15 AND 16), WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS TO BE PAID BY CLIENT TO INTUIT HEREUNDER.",the liability of either party for damages or alleged damages hereunder except under sections 15 and 16 whether in contract tort or any other legal theory is limited to and will not exceed the amounts to be paid by client to intuit hereunder,Cap On Liability
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,"COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event.",company will pay jhu a fee equal one percent 1 of the aggregate consideration received by the company or the total amount received by stockholders of company upon the occurrence of a liquidity event,Change Of Control
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.,other party in an amount greater than the amount boxlot actually pays to theglobe hereunder,Uncapped Liability
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,AGAPE ATP INTERNATIONAL HOLDING LIMITED,agape atp international holding limited,Parties
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT,SPONSORSHIP AGREEMENT,sponsorship agreement,Document Name
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"This Agreement is governed by and construed in accordance with English law, save where provided otherwise herein.",this agreement is governed by and construed in accordance with english law save where provided otherwise herein,Governing Law
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT","NOTWITHSTANDING ANYTHING IN THIS AGREEMENT TO THE CONTRARY, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR INDIRECT DAMAGES ARISING OUT OF THIS AGREEMENT, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY.",notwithstanding anything in this agreement to the contrary in no event will either party be liable for any special incidental consequential or indirect damages arising out of this agreement however caused and on any theory of liability,Cap On Liability
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,"In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation: 7.1.1 Divert or attempt to divert any business or customer of the Franchised Business or any Unit Franchisee anywhere, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with our Proprietary Marks or the System.",in consideration for such training trade secrets and confidential information you and your principals agree that during the term of this agreement and for a continuous uninterrupted period commencing upon expiration or termination of this agreement regardless of the cause for termination and continuing for a period of three 3 years thereafter neither you nor your principals shall directly or indirectly for themselves or through on behalf of or in conjunction with any person persons partnership limited liability company or corporation 7 1 1 divert or attempt to divert any business or customer of the franchised business or any unit franchisee anywhere by direct or indirect inducement or otherwise or do or perform directly or indirectly any other act injurious or prejudicial to the goodwill associated with our proprietary marks or the system,Non-Disparagement
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of Allied's marketing materials in connection with the Arena where reasonably practicable.",without limitation of the preceding sentence or any other provision of this agreement allied shall identify and name newegg as a founding partner and as the exclusive technology e commerce or e tail partner of the arena and in all of allied s marketing materials in connection with the arena where reasonably practicable,Exclusivity
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"Such inspection shall be at 2TheMart's expense; however, if the audit reveals overdue payments in excess of ten percent (10%) of the payments owed to date, i-Escrow shall immediately pay all cost of such audit.",such inspection shall be at 2themart s expense however if the audit reveals overdue payments in excess of ten percent 10 of the payments owed to date i escrow shall immediately pay all cost of such audit,Audit Rights
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"Distributor agrees not to use in any manner whatsoever the marks, logos, images and copy of Vendor following the expiration or termination of this Agreement, except as may be needed to sell any Products remaining in Distributor's inventory.",distributor agrees not to use in any manner whatsoever the marks logos images and copy of vendor following the expiration or termination of this agreement except as may be needed to sell any products remaining in distributor s inventory,Post-Termination Services
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"The Agreements, and your rights and obligations under them, are and shall remain personal to you.",the agreements and your rights and obligations under them are and shall remain personal to you,Anti-Assignment
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"SFJ shall cause each employee, individual consultant and Third Party contractor that SFJ or its Affiliate proposes to engage to conduct any Clinical Trial activity under or in connection with this Agreement (including, if applicable, in connection with the Program Transfer Agreement) on its behalf who conceives, discovers, develops or otherwise makes any AstraZeneca Product Improvement under or in connection with activities conducted pursuant to this Agreement to be under an obligation to assign to PB their rights in any such AstraZeneca Product Improvement, so that PB may comply with its obligations with respect to AstraZeneca Improvements, AstraZeneca Product Know-How and AstraZeneca Product Patents under the AZ License.",sfj shall cause each employee individual consultant and third party contractor that sfj or its affiliate proposes to engage to conduct any clinical trial activity under or in connection with this agreement including if applicable in connection with the program transfer agreement on its behalf who conceives discovers develops or otherwise makes any astrazeneca product improvement under or in connection with activities conducted pursuant to this agreement to be under an obligation to assign to pb their rights in any such astrazeneca product improvement so that pb may comply with its obligations with respect to astrazeneca improvements astrazeneca product know how and astrazeneca product patents under the az license,Ip Ownership Assignment
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"If either Party has received a Third Party Offer that it intends to accept (the ""Offer""), such Party (the ""Selling Party"") shall notify the other Party (the ""Offeree"") of the Offer, which notice shall include a copy of the Offer and any other information necessary to enable the Offeree to evaluate reasonably the Offer and the potential purchaser.",if either party has received a third party offer that it intends to accept the offer such party the selling party shall notify the other party the offeree of the offer which notice shall include a copy of the offer and any other information necessary to enable the offeree to evaluate reasonably the offer and the potential purchaser,Rofr/Rofo/Rofn
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"Notwithstanding anything contained in this Section to the contrary, Hydraspin may assign this Agreement upon written notice to Distributor to any entity which controls, is controlled by or under common control with Hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock, by merger or otherwise.",notwithstanding anything contained in this section to the contrary hydraspin may assign this agreement upon written notice to distributor to any entity which controls is controlled by or under common control with hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock by merger or otherwise,Anti-Assignment
"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT","If there has been a successful Remarketing, the Company shall pay to the Remarketing Agent for the performance of its services as Remarketing Agent hereunder on the Remarketing Settlement Date, by wire transfer to an account designated by the Remarketing Agent, a fee in an amount equal to 25 basis points (0.25%) of the Accreted Value of the Remarketed Securities.",if there has been a successful remarketing the company shall pay to the remarketing agent for the performance of its services as remarketing agent hereunder on the remarketing settlement date by wire transfer to an account designated by the remarketing agent a fee in an amount equal to 25 basis points 0 25 of the accreted value of the remarketed securities,Revenue/Profit Sharing
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,"NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT, JHU ADDITIONALLY DISCLAIMS ALL OBLIGATIONS AND LIABILITIES ON THE PART OF JHU AND INVENTORS, FOR DAMAGES, INCLUDING, BUT NOT LIMITED TO, DIRECT, INDIRECT, SPECIAL, AND CONSEQUENTIAL DAMAGES, ATTORNEYS' AND EXPERTS' FEES, AND COURT COSTS (EVEN IF JHU HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, FEES OR COSTS), ARISING OUT OF OR IN CONNECTION WITH THE MANUFACTURE, USE, OR SALE OF THE LICENSED PRODUCTS AND LICENSED SERVICES UNDER THIS AGREEMENT.",notwithstanding any other provision of this agreement jhu additionally disclaims all obligations and liabilities on the part of jhu and inventors for damages including but not limited to direct indirect special and consequential damages attorneys and experts fees and court costs even if jhu has been advised of the possibility of such damages fees or costs arising out of or in connection with the manufacture use or sale of the licensed products and licensed services under this agreement,Cap On Liability
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT","collectively referred to as the ""Parties"" and individually, a ""Party""",collectively referred to as the parties and individually a party,Parties
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT,23rd day of September 1998,23rd day of september 1998,Agreement Date
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"During the applicable Exclusive Period, SFJ shall not, and shall cause its Affiliates not to, either by itself or through a Third Party, conduct human clinical trials of, or sell, offer for sale or have sold: 3.19.1 any Competing Product (other than Product) alone or in combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients; 3.19.2 any combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients of the Product and a Competing Product; 3.19.3 any agent that is intended as an antidote to, or is intended to neutralize, abrogate or reverse the antiplatelet activity of, (i) any Brilinta Competing Product alone or in combination (whether fixed dose or co-packaged) with one (1) or more other active ingredients or (ii) both the Ticagrelor Compound and a Brilinta Competing Product; 3.19.4 without limitation to the foregoing, any agent with dual activity as (i) an antidote to, or for use as an agent to neutralize, abrogate or reverse the antiplatelet activity of, the Ticagrelor Compound and (ii) an antidote to, or for use as an agent to neutralize, abrogate or reverse the antiplatelet activity of, any Brilinta Competing Product; or 3.19.5 any Brilinta Competing Product.",during the applicable exclusive period sfj shall not and shall cause its affiliates not to either by itself or through a third party conduct human clinical trials of or sell offer for sale or have sold 3 19 1 any competing product other than product alone or in combination whether fixed dose or co packaged with one 1 or more other active ingredients 3 19 2 any combination whether fixed dose or co packaged with one 1 or more other active ingredients of the product and a competing product 3 19 3 any agent that is intended as an antidote to or is intended to neutralize abrogate or reverse the antiplatelet activity of i any brilinta competing product alone or in combination whether fixed dose or co packaged with one 1 or more other active ingredients or ii both the ticagrelor compound and a brilinta competing product 3 19 4 without limitation to the foregoing any agent with dual activity as i an antidote to or for use as an agent to neutralize abrogate or reverse the antiplatelet activity of the ticagrelor compound and ii an antidote to or for use as an agent to neutralize abrogate or reverse the antiplatelet activity of any brilinta competing product or 3 19 5 any brilinta competing product,Non-Compete
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,15.2 The Company may in its sole and absolute discretion (whether or not any notice of termination has been given under sub clause 15.1) terminate this Agreement at any time and with immediate effect by giving notice in writing to the Executive that the Company is exercising its rights pursuant to this clause 15.,15 2 the company may in its sole and absolute discretion whether or not any notice of termination has been given under sub clause 15 1 terminate this agreement at any time and with immediate effect by giving notice in writing to the executive that the company is exercising its rights pursuant to this clause 15,Termination For Convenience
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,"This Agreement shall come into force on the Effective Date and shall remain in force and effect for a period of [Redacted - Commercially Sensitive - Term Details] , unless this Agreement is extended or previously terminated in accordance with this clause 12, pursuant to clause 15.1 (Force Majeure), or (ii) by the mutual written consent of the Parties (the ""Term"").",this agreement shall come into force on the effective date and shall remain in force and effect for a period of redacted commercially sensitive term details unless this agreement is extended or previously terminated in accordance with this clause 12 pursuant to clause 15 1 force majeure or ii by the mutual written consent of the parties the term,Expiration Date
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,"Airspan's obligation and Distributor's sole remedy under this warranty are limited to the replacement or repair, at Airspan's option, of the defective Equipment or Software within the Initial Warranty Period.",airspan s obligation and distributor s sole remedy under this warranty are limited to the replacement or repair at airspan s option of the defective equipment or software within the initial warranty period,Warranty Duration
